name	ltla	date	epoch
England/ALDP-3257CCF/2022|BA.1.15.1|2022-01-12	E06000051	2022-01-12	2
England/ALDP-3505832/2022|BA.1.15.1|2022-01-31	E07000235	2022-01-31	2
England/LSPA-31EE98B/2022|BA.1.15.1|2022-01-06	E08000027	2022-01-06	2
England/ALDP-3354B79/2022|BA.1.15.1|2022-01-19	E07000196	2022-01-19	2
England/LSPA-2FACECB/2021|BA.1.15.1|2021-12-19	E08000030	2021-12-19	1
England/LSPA-2F718FE/2021|BA.1.15.1|2021-12-16	E06000015	2021-12-16	1
England/ALDP-33BCCF4/2022|BA.1.15.1|2022-01-21	E06000050	2022-01-21	2
England/LSPA-2F60661/2021|BA.1.15.1|2021-12-16	E06000021	2021-12-16	1
England/LSPA-2FC4E45/2021|BA.1.15.1|2021-12-20	E07000195	2021-12-20	1
England/ALDP-338DEBA/2022|BA.1.15.1|2022-01-20	E06000011	2022-01-20	2
England/ALDP-350C65F/2022|BA.1.15.1|2022-01-31	E08000025	2022-01-31	2
England/ALDP-32325DE/2022|BA.1.15.1|2022-01-10	E08000029	2022-01-10	2
England/MILK-302CB22/2021|BA.1.15.1|2021-12-28	E07000171	2021-12-28	2
England/MILK-31F7327/2022|BA.1.15.1|2022-01-10	E06000023	2022-01-10	2
England/MILK-352DCED/2022|BA.1.15.1|2022-01-30	E06000023	2022-01-30	2
England/MILK-352DB1D/2022|BA.1.15.1|2022-01-31	E06000025	2022-01-31	2
England/MILK-352D7A0/2022|BA.1.15.1|2022-01-31	E06000023	2022-01-31	2
England/ALDP-327AFAF/2022|BA.1.15.1|2022-01-13	E08000025	2022-01-13	2
England/ALDP-32A206F/2022|BA.1.15.1|2022-01-14	E08000027	2022-01-14	2
England/QEUH-32E5631/2022|BA.1.15.1|2022-01-15	E06000013	2022-01-15	2
England/ALDP-3125FC2/2022|BA.1.15.1|2022-01-02	E08000025	2022-01-02	2
England/ALDP-338BEDA/2022|BA.1.15.1|2022-01-20	E06000020	2022-01-20	2
England/LSPA-3491034/2022|BA.1.15.1|2022-01-27	E06000020	2022-01-27	2
England/QEUH-32D4AB1/2022|BA.1.15.1|2022-01-16	E06000011	2022-01-16	2
England/LSPA-34084D2/2022|BA.1.15.1|2022-01-22	E06000020	2022-01-22	2
England/NORT-YB5NU9/2022|BA.1.15.1|2022-01-18	E06000020	2022-01-18	2
England/LSPA-34D5B9D/2022|BA.1.15.1|2022-01-28	E08000031	2022-01-28	2
England/ALDP-323140F/2022|BA.1.15.1|2022-01-10	E07000235	2022-01-10	2
England/LSPA-32004DC/2022|BA.1.15.1|2022-01-08	E07000218	2022-01-08	2
England/ALDP-2F24001/2021|BA.1.15.1|2021-12-17	E08000025	2021-12-17	1
England/ALDP-3135FDE/2021|BA.1.15.1|2021-12-31	E08000025	2021-12-31	2
England/ALDP-33A26C6/2022|BA.1.15.1|2022-01-20	E07000235	2022-01-20	2
England/LSPA-320E78A/2022|BA.1.15.1|2022-01-06	E08000019	2022-01-06	2
England/ALDP-32318C7/2022|BA.1.15.1|2022-01-10	E07000238	2022-01-10	2
