name	ltla	date	epoch
England/MILK-2E0A415/2021|BA.1|2021-12-09	E09000033	2021-12-09	1
England/MILK-2F8C6D8/2021|BA.1|2021-12-19	E07000075	2021-12-19	1
England/MILK-2FE734D/2021|BA.1|2021-12-24	E06000033	2021-12-24	1
England/MILK-31A51C4/2022|BA.1|2022-01-08	E07000086	2022-01-08	2
England/HSLL-2FDD91B/2021|BA.1|2021-12-24	E09000016	2021-12-24	1
England/MILK-2FF5379/2021|BA.1|2021-12-26	E08000028	2021-12-26	2
England/MILK-3286E2B/2022|BA.1|2022-01-14	E06000032	2022-01-14	2
England/MILK-3072C1B/2021|BA.1|2021-12-29	E09000003	2021-12-29	2
England/MILK-2F17EBC/2021|BA.1|2021-12-16	E09000030	2021-12-16	1
England/MILK-2EACB4D/2021|BA.1|2021-12-13	E09000030	2021-12-13	1
England/ALDP-2FBACDF/2021|BA.1|2021-12-17	E09000028	2021-12-17	1
England/MILK-3118D04/2022|BA.1|2022-01-03	E09000023	2022-01-03	2
England/MILK-34B16A5/2022|BA.1|2022-01-30	E09000032	2022-01-30	3
England/MILK-314CF2F/2022|BA.1|2022-01-05	E09000023	2022-01-05	2
England/PLYM-3347ECB/2022|BA.1|2022-01-18	E06000025	2022-01-18	3
England/MILK-3072097/2021|BA.1|2021-12-30	E07000084	2021-12-30	2
England/QEUH-32E241C/2022|BA.1|2022-01-15	E08000035	2022-01-15	2
England/MILK-33D6B8E/2022|BA.1|2022-01-23	E06000031	2022-01-23	3
England/NORT-YB5QDW/2022|BA.1|2022-01-19	E07000152	2022-01-19	3
England/LSPA-32A8A4D/2022|BA.1|2022-01-12	E06000055	2022-01-12	2
England/LSPA-317E4E9/2022|BA.1|2022-01-04	E07000155	2022-01-04	2
England/MILK-337F2EC/2022|BA.1|2022-01-21	E07000152	2022-01-21	3
England/LSPA-34AE061/2022|BA.1|2022-01-25	E07000152	2022-01-25	3
England/LSPA-3226B71/2022|BA.1|2022-01-08	E07000012	2022-01-08	2
England/MILK-31095D1/2022|BA.1|2022-01-04	E06000042	2022-01-04	2
England/MILK-321AC40/2022|BA.1|2022-01-11	E06000032	2022-01-11	2
England/MILK-3159FB6/2022|BA.1|2022-01-05	E07000154	2022-01-05	2
England/MILK-33F3040/2022|BA.1|2022-01-24	E07000152	2022-01-24	3
England/ALDP-33831E8/2022|BA.1|2022-01-19	E06000013	2022-01-19	3
England/PLYM-2F40412/2021|BA.1|2021-12-17	E06000023	2021-12-17	1
England/MILK-2F8D437/2021|BA.1|2021-12-19	E09000011	2021-12-19	1
England/MILK-311311C/2021|BA.1|2021-12-31	E07000076	2021-12-31	2
England/BRBR-2F42E30/2021|BA.1|2021-12-17	E07000209	2021-12-17	1
England/LSPA-3201D3A/2022|BA.1|2022-01-08	E07000219	2022-01-08	2
England/MILK-2F08E18/2021|BA.1|2021-12-16	E07000079	2021-12-16	1
England/DHSC-CYNZ1DM/2021|BA.1|2021-12-20	E06000054	2021-12-20	1
England/MILK-2F561C7/2021|BA.1|2021-12-18	E06000054	2021-12-18	1
England/MILK-2ED7EF5/2021|BA.1|2021-12-14	E09000009	2021-12-14	1
England/MILK-2EC83AD/2021|BA.1|2021-12-15	E09000009	2021-12-15	1
England/DHSC-CYNQD46/2021|BA.1|2021-12-23	E07000155	2021-12-23	1
England/DHSC-CYYJ619/2021|BA.1|2021-12-20	E07000084	2021-12-20	1
England/MILK-30EBF14/2022|BA.1|2022-01-03	E09000013	2022-01-03	2
England/MILK-307BA54/2021|BA.1|2021-12-30	E07000189	2021-12-30	2
England/MILK-31E1E4D/2022|BA.1|2022-01-10	E07000061	2022-01-10	2
England/QEUH-32DAF07/2022|BA.1|2022-01-12	E08000035	2022-01-12	2
